clean_text,label
yang pasti bukan yang kere kayak lu,Negatif
para pendukung ikn adalah manusia korup tak bertanggung jawab,Positif
gue berharap jangan sampai kejadian takut sih mul entar dituntut rakyat,Positif
faktanya apa ada anggota dpr yang usul jadi ibu kota provinsi you cari tahu jangan cuma saras soros,Negatif
tempe medianya soros kemarin bilang hutan mangkrak kwkwkw sisanya berita cuma dari katanya mirip koran gosip wkw,Negatif
mau jadi apapun gue sih setuju dengan syarat proses hukum dulu lah aktor pembangunan ikn nya dia sudah menghambur hamburkan duit rakyat padahal katanya di kantongnya ada rp t setuju enggak,Positif
enggak bakal kemana indonesia,Netral
memang harus mati semua dulu elit negeri ini mereka tidak ada keinginan untuk sedikit membangun negeri ini saling menutupi dan bekerjasama agar kelak ketika gilirannya berkuasa mereka bisa saling membantu assuuuu kabeh,Negatif
ternyata mas bowo juga masuk list gerombolan nya mas joko,Negatif
mengapai wakil presiden dikasih istana,Positif
ayo kita gugat akan kami mulai dari daerah,Positif
terlucu diantara pelawak,Netral
jokowi dan gerombolannya,Netral
termasuk gerombolan alumninya,Negatif
pak salah strategi dan perhitungan dengan memilih dan mendukung prabowo sebagai penggantinya seorang ambisius akan menjanjikan apapun bahkan sejuta bintang untuk meraih ambisinya bestie tidak dikenal dalam politik,Negatif
jadi red light distrik lebih tepat,Positif
kebijakan dibuat asal asalan dengan dukungan narasi buzzer,Positif
suruh gibran berkantor disana saja biar bisa main sama ani ani disana,Positif
fakta ratusan investor antri masuk ikn itu kata nganu,Negatif
coba kasih data berapa utang indonesia,Negatif
perubahan sikap politisi terhadap ikn disebabkan oleh keterbatasan fiskal di bawah pemerintahan prabowo kemajuan proyek yang lambat minimnya minat investor dan prioritas baru seperti program makan gratis prabowo sendiri skeptis sejak awal menyebutnya pemborosan meski ada komitmen lanjutan kritik lingkungan dan ekonomi membuat beberapa pihak usul moratorium atau perubahan status sumber tempo jakarta post eco business,Positif
mengapa terjadi hal seperti ini,Positif
fakta mana yang anda kasih sini kasih sama gue mau lihat fakta yang lu omongkan,Negatif
termul makanannya dusta mulyono dikasih fakta dia kepanasan,Negatif
ternyata sekelas tempo pun bisa diberakin jokodok hahahahahahahah,Negatif
negara jangan diajak belajar terus bang kapan pintarnya sudah tahun merdeka ini bang sudah tua banget yang benar negara harus menghukum berat mereka yang membuat kebijakan enggak jelas bikin bangkrut republik dan itu harus hukuman mati jokodok dan mastermind nya juga kroninya,Negatif
sepertinya ikn dibangun sesuai amanat uu yang disahkan dpr kalau enggak dilanjutkan pembangunannya apa enggak melanggar uu pembentukan ikn,Negatif
yang paling bertanggung jawab jokowi enggak ada yang lain,Negatif
yang bertanggung jawab jelas sih mulyono nabi palsu kurap,Positif
hutan sudah dibabat habis,Positif
ini jelas merugikan negara bisa dong masuk penjara,Negatif
sudah kalah debat enggak tau mau mengomong apa ya soalnya hati lu busuk sudah jelas jelas termakan media kontol tempo,Positif
dilanjutkan ogah banget cwih,Negatif
aku kan deh kata,Positif
memang lu bisa adu argumentasi sini gue jabanin enggak usah banyak omong kosong ini malah adu followers wkwk sinting,Negatif
mudah an saja enggak gila saja kalau kejadian benaran,Positif
memang gue siapa kelihatan kocak bahasa lu sok kelihatan,Negatif
coba tanyakan ke bapakmu sekarang investor itu pada kemana tolong lu jangan ikut an ndabrus ya bran pakai brain dalam ambil keputusan semua untuk kemaslahatan rakyat itu yang harus lo ingat bukan untuk pribadi golongan t,Negatif
anaknya buang ke sono terus bapaknya diproses karena merugikan negara berani enggak lu wo,Negatif
bukti nyata program presiden sebelumnya enggak pakai analisa matang dan semuanya pejabat pendukung habis,Positif
wah wah jadi kenapa yang berkaitan dengan mulyono begitu kuat punya jasa apa mulyono terhadap,Positif
sdm rendah itu lu mengomong mental nyinyir doang minimal adu argumen by data biar kelihatan oonnya,Negatif
jangankan mulyono sama siplester saja enggak berkutik,Negatif
nih sdm rendah murni dari lahir gue tag noh sudah di tag cepat kata katain,Netral
simple saja yang koar dulu sudah banyak investor yang antri dan harapan palsu lainnya dari mulut siapa kalo sampai stuck ya jokowi dkk patut di adili karena jelas merugikan negara,Negatif
tidak seenteng itu harus diusut juga pembodohan publik oleh sih tol l rajanya orang bodoh yang bilang enggak pakai apbn,Negatif
dengan penggantinya bikin kebijakan serampangan enaknya bikin kepanjangan dari program serampangan ikn inisiatif korupsi nasional food estate foya foya orde elit sawah terbengkalai akhirnya tidak efektif danantara dana andalan nasional untuk tindakan amburadul,Negatif
stres lu ngamuk ikn mangkrak enggak duit buat lanjutkan utang negara saja bunganya belum kebayar sudah jangan kayak orang gila lu,Negatif
lucu memang growth ekonominya apa ada di daerah yang tidak ada penduduknya investor itu yang dicari growth,Negatif
jangan mau anjir dikasih narasi rekonsiliasi rekonsiliasi nasional jowoki mesti diadili soalnya termul sekarang deh mulai banyak yang mengeluarkan jurus ini biar mereka segerombolan bisa bebas dari kesalahan,Negatif
balikin hutannya enggak,Netral
yang mangkrak itu ladang mak kau enggak pernah digarap bapak kau,Negatif
akhh langsung saja adilijokowi,Netral
setuju harus ada pertanggung jawaban secara hukum makanya aku curiga kondisi gaduh saat ini diciptakan untuk mengalihkan perhatian atas kesalahan fatal pengelola negara semoga rakyat makin cerdas dan sadar,Positif
proyek mercu suar rakyat dibiarkan lapar lalu dihibur dengan melemparkan bansos,Negatif
pentingnya punya presiden yang sekolah dan prestasinya valid kalau enggak proses berpikirnya enggak jelas meremehkan riset duit rakyar habis enggak jelas,Positif
baru tahu wapres perlu istana sumpah ini negara apaan terus apakah mbak akan menyusul ikn kenapa selalu ada rencana yang tidak rampung padahal uang yang di berikan tidak sedikit apalagi ikn enggak semua warga indonesia bisa merasakan,Negatif
di kasus perdata arahannya dari ketua sama sdngkn pidana dari parcok berapa banyak digelontorkn duit buat mereka ini duitnya drimn,Negatif
sependapat perlu dikabarkan terus hingga titik fokus publik berasa membakar,Negatif
yang dipanggil gerombolan biasanya cuman pakai insting enggak mikir mereka,Negatif
rakyat lagi saja yang nanggung akibatnya memang pada enggak becus mengurus negara kontol memang,Negatif
jika terbukti wajib ada yang ngandang dan siapapun yang dibawahnya wajib diadili kelakuan terbangsat pemimpin negara buang duit negara enggak terukur banyaknya minimal keparat itu tahu menjalani hukuman didunia bisa jadi ngurangin hisab tanggung jawab mereka diakhirat,Negatif
lah kan goblok namanya sudah diingatkan juga,Negatif
jadi ingat ini min,Positif
